year	pubAll	pubStrongD_speciesAll	pubWeakD_speciesAll	pubStrongD_speciesMusMusculus	pubWeakD_speciesMusMusculus	pubStrongD_speciesHomoSapiens	pubWeakD_speciesHomoSapiens	pubStrongD_speciesMusMusculusHomoSapiens	pubWeakD_speciesMusMusculusHomoSapiens	pubSame_speciesAll	pubDiff_speciesAll	pubSame_speciesMusMusculus	pubDiff_speciesMusMusculus	pubSame_speciesHomoSapiens	pubDiff_speciesHomoSapiens	pubSame_speciesMusMusculusHomoSapiens	pubDiff_speciesMusMusculusHomoSapiens	pubWithGene_MusMusculus	pubWithGene_HomoSapiens	pubWithGene_MusMusculusHomoSapiens
1821	270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1822	247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1823	291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1824	269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1825	262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1826	385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1827	327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1828	409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1829	568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1830	510	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1831	579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1832	285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1833	221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1834	209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1835	222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1836	220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1837	281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1838	265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1839	289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1840	388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1841	805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1842	972	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1843	813	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1844	609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1845	589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1846	561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1847	523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1848	501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1849	434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1850	463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1851	546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1852	527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1853	592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1854	428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1855	690	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1856	629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1857	668	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1858	716	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1859	593	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1860	719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1861	488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1862	462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1863	377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1864	521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1865	466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1866	792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1867	989	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1868	1101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1869	1175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1870	1073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1871	1103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1872	1365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1873	1353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1874	1185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1875	1140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1876	1143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1877	1135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1878	1305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1879	1252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1880	1496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1881	1554	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1882	1214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1883	1803	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1884	1804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1885	2021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1886	2127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1887	2630	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1888	2591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1889	3007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1890	2572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1891	2252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1892	2834	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1893	3229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1894	2812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1895	3014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1896	3224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1897	3399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1898	3483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1899	3156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1900	3128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1901	3195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1902	3285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1903	3427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1904	3617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1905	3660	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1906	3557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1907	3863	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1908	4233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1909	4563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1910	4638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1911	4814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1912	4717	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1913	5009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1914	5029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1915	4488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1916	4307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1917	4010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1918	4066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1919	4387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1920	5034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1921	4632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1922	4101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1923	4451	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1924	4933	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1925	5039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1926	5382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1927	5932	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1928	5506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1929	5732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1930	5669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1931	5538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1932	5597	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1933	5651	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1934	5556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1935	5697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1936	5411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1937	5349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1938	5807	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1939	5588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1940	4981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1941	4848	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1942	4772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1943	4526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1944	4579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1945	18690	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1946	50536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1947	62107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1948	70757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1949	62658	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1950	85322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1951	103641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1952	108030	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1953	108786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1954	105915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1955	108506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1956	106894	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1957	111400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1958	109271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1959	109893	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1960	112135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1961	120029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1962	125654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1963	141475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1964	162027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1965	176633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1966	180090	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1967	191999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1968	208105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1969	215230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1970	219306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1971	223559	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1972	227742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1973	231008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1974	235137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1975	249059	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1976	254935	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1
1977	262175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1978	272367	0	1	0	1	0	0	0	1	0	1	0	1	0	0	0	1	1	0	1
1979	281962	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1980	280521	0	5	0	2	0	1	0	3	1	3	0	1	0	1	0	2	2	1	3
1981	283391	0	4	0	2	0	1	0	3	0	0	0	0	0	0	0	0	2	1	3
1982	295422	0	4	0	0	0	3	0	3	1	0	0	0	0	0	0	0	0	3	3
1983	309280	0	3	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1
1984	318183	0	8	0	0	0	3	0	3	6	1	0	0	1	1	1	1	0	3	3
1985	335028	0	4	0	0	0	1	0	1	3	0	0	0	0	0	0	0	0	1	1
1986	349315	0	8	0	0	0	4	0	4	6	1	0	0	3	1	3	1	0	4	4
1987	367588	0	9	0	2	0	4	0	6	6	1	1	0	3	1	4	1	2	4	6
1988	386767	0	11	0	1	0	4	0	5	8	1	1	0	2	0	3	0	1	4	5
1989	402331	1	12	0	1	1	6	1	7	13	0	1	0	7	0	8	0	1	7	8
1990	410258	0	13	0	2	0	6	0	8	6	3	2	0	0	2	2	2	2	6	8
1991	412842	5	18	2	3	3	10	5	13	17	0	4	0	9	0	13	0	5	13	18
1992	417625	0	21	0	2	0	12	0	14	14	2	1	0	10	1	11	1	2	12	14
1993	426213	2	20	1	5	1	4	2	9	9	3	3	0	2	0	5	0	6	5	11
1994	437907	1	22	0	8	1	8	1	16	13	3	3	1	6	1	9	2	8	9	17
1995	448342	6	26	1	9	2	8	3	17	15	1	4	1	5	0	9	1	10	10	20
1996	458013	9	33	4	11	2	8	6	19	16	9	6	3	6	2	12	5	15	10	25
1997	449087	8	47	3	15	4	21	7	36	17	13	6	5	7	5	13	10	18	25	43
1998	470863	10	53	3	10	6	23	9	33	24	8	5	2	12	4	17	6	13	29	42
1999	488176	8	49	1	16	5	14	6	30	20	9	5	1	9	3	14	4	17	19	36
2000	526346	10	41	4	18	5	12	9	30	23	10	6	2	11	3	17	5	22	17	39
2001	541272	16	68	4	20	12	23	16	43	30	10	9	2	13	4	22	6	24	35	59
2002	567544	21	65	6	26	11	25	17	51	25	20	10	6	12	10	22	16	32	36	68
2003	586170	17	84	6	23	6	28	12	51	35	18	7	6	17	3	24	9	29	34	63
2004	620757	33	85	11	27	18	31	29	58	49	21	13	7	25	11	38	18	38	49	87
2005	656987	22	81	6	23	13	25	19	48	37	15	14	5	14	6	28	11	29	38	67
2006	687282	22	78	9	20	10	22	19	42	35	16	11	5	14	3	25	8	29	32	61
2007	712625	28	87	7	25	15	25	22	50	45	23	11	8	22	4	33	12	32	40	72
2008	751436	47	138	17	65	18	33	35	98	62	22	31	9	21	5	52	14	82	51	133
2009	785315	73	209	35	90	28	50	63	140	128	52	57	24	32	22	89	46	125	78	203
2010	833422	58	233	25	108	23	55	48	163	100	60	49	24	36	14	85	38	133	78	211
2011	877401	85	326	37	135	24	89	61	224	152	76	63	29	40	21	103	50	172	113	285
2012	940900	101	330	38	131	41	75	79	206	160	85	76	34	48	25	124	59	169	116	285
2013	996632	118	299	57	121	46	83	103	204	170	83	75	33	60	29	135	62	178	129	307
2014	1044260	98	313	36	112	38	78	74	190	150	75	52	28	61	13	113	41	148	116	264
2015	1087259	115	412	46	179	52	102	98	281	168	116	76	47	62	35	138	82	225	154	379
2016	1113943	126	344	60	156	42	74	102	230	166	110	78	45	48	29	126	74	216	116	332
2017	1123788	47	137	20	49	16	32	36	81	54	47	19	15	21	13	40	28	69	48	117
2018	1170812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2019	1311209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020	18465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2021	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
