CA2102780C	A	346	349	EGF	ABBREVIATION	P00533
CA2102780C	A	357	370	PDGF receptor	FAMILY	GPRO_TYPE_2
CA2102780C	A	96	119	protein tyrosine kinase	FAMILY	GPRO_TYPE_2
CA2102780C	T	66	69	egf	ABBREVIATION	P00533
CA2102780C	T	77	106	pdgf receptor tyrosine kinase	FAMILY	GPRO_TYPE_2
CA2143752C	A	457	470	NMDA receptor	FAMILY	GPRO_TYPE_2
CA2143752C	A	48	61	NMDA receptor	FAMILY	GPRO_TYPE_2
CA2143752C	T	21	34	nmda receptor	FAMILY	GPRO_TYPE_2
CA2148253C	A	202	209	5or h I	MULTIPLE	GPRO_TYPE_2
CA2148253C	A	320	327	Sor h I	ABBREVIATION	A0A077B564
CA2148253C	A	379	384	Sor h	FAMILY	GPRO_TYPE_2
CA2148253C	A	409	416	Sor h I	ABBREVIATION	A0A077B564
CA2148253C	A	86	93	Sor h I	ABBREVIATION	A0A077B564
CA2151377C	A	821	837	5-HT1A receptors	FULL_NAME	P08908
CA2176796C	A	154	178	sodium proton antiporter	FAMILY	GPRO_TYPE_2
CA2176796C	A	180	196	Na+/H+ exchanger	FAMILY	GPRO_TYPE_2
CA2188267C	A	374	395	nitric oxide synthase	FAMILY	GPRO_TYPE_2
CA2188267C	T	42	53	no-synthase	FAMILY	GPRO_TYPE_2
CA2195663C	A	157	160	PDE	FAMILY	GPRO_TYPE_2
CA2212200C	A	21	40	beta.-glucuronidase	FULL_NAME	P08236
CA2212200C	T	21	40	beta.-glucuronidase	FULL_NAME	P08236
CA2220777C	A	185	190	VLA-4	FAMILY	GPRO_TYPE_2
CA2220777C	A	221	230	integrins	FAMILY	GPRO_TYPE_2
CA2220777C	A	589	594	VLA-4	FAMILY	GPRO_TYPE_2
CA2220777C	T	62	67	vla-4	FAMILY	GPRO_TYPE_2
CA2222964C	A	148	162	haloperoxidase	FAMILY	GPRO_TYPE_2
CA2222964C	A	180	212	hydrogen peroxide oxidoreductase	FAMILY	GPRO_TYPE_2
CA2222964C	A	222	237	myeloperoxidase	FULL_NAME	P05164
CA2222964C	A	239	260	eosinophil peroxidase	FULL_NAME	P11678
CA2222964C	A	264	279	lactoperoxidase	FULL_NAME	P22079
CA2222964C	A	365	372	oxidase	FAMILY	GPRO_TYPE_2
CA2222964C	A	393	414	oxygen oxidoreductase	FAMILY	GPRO_TYPE_2
CA2222964C	A	491	498	oxidase	FAMILY	GPRO_TYPE_2
CA2224426C	A	303	329	cis-9,10-octadecenoamidase	FAMILY	GPRO_TYPE_2
CA2224426C	T	0	26	Cis-9,10-octadecenoamidase	FAMILY	GPRO_TYPE_2
